"Year","Project","Number"
2016,"Young Scientists Fund Projects",1
2017,"International (Regional) Cooperation Research and Exchange Projects",7
2018,"Young Scientists Fund Projects",1
2019,"General Projects",1
2020,"Young Scientists Fund Projects",1
2021,"General Projects",2
2021,"Regional Science Fund Projects",1
2021,"Young Scientists Fund Projects",1
2022,"General Projects",2
2022,"Regional Science Fund Projects",1
2022,"Young Scientists Fund Projects",4
2023,"General Projects",4
2023,"Young Scientists Fund Projects",5
